
Antigen Neutralization [MoA],CAT013,Others
Antifibrinolytic Agent [EPC],CAT013,Others
Antiemetic [EPC],CAT013,Others
Antidote [EPC],CAT013,Others
Antidiarrheal [EPC],CAT013,Others
Anticholinergic [EPC],CAT013,Others
Antibodies [CS],CAT013,Others
Antibodies,CAT013,Others
Antiarrhythmic [EPC],CAT013,Others
Anti-coagulant [EPC],CAT013,Others
Anti-anginal [EPC],CAT013,Others
Anti-IgE [EPC],CAT013,Others
Anthrax Protective Antigen-directed Antibody Interactions [MoA],CAT013,Others
Anthracycline Topoisomerase Inhibitor [EPC],CAT013,Others
Anthelmintic [EPC],CAT013,Others
Angiopoietin-like 3 Inhibitor [EPC],CAT013,Others
Androgen Receptor Antagonists [MoA],CAT013,Others
Androgen Receptor Agonists [MoA],CAT013,Others
Analogs/Derivatives [Chemical/Ingredient],CAT013,Others
Amylin Agonists [MoA],CAT013,Others
Amphetamine Anorectic [EPC],CAT013,Others
Amphenicol-class Antibacterial [EPC],CAT013,Others
Ammonium Ion Binding Activity [MoA],CAT013,Others
Aminosalicylate [EPC],CAT013,Others
Aminolevulinate Synthase 1-directed RNA Interaction [EPC],CAT013,Others
Antimetabolite Immunosuppressant [EPC],CAT013,Others
Cardiac Glycoside [EPC],CAT013,Others
Carbapenems [CS],CAT013,Others
Carnitine Analog [EPC],CAT013,Others
Direct Thrombin Inhibitor [EPC],CAT013,Others
Dipeptidyl Peptidase 4 Inhibitor [EPC],CAT013,Others
Dihydroorotate Dehydrogenase Inhibitors [MoA],CAT013,Others
Dihydrofolate Reductase Inhibitor Antimalarial [EPC],CAT013,Others
Diarylquinoline Antimycobacterial [EPC],CAT013,Others
Diagnostic Dye [EPC],CAT013,Others
Depigmenting Activity [PE],CAT013,Others
Decreased Tracheobronchial Stretch Receptor Activity [PE],CAT013,Others
Decreased Striated Muscle Contraction [PE],CAT013,Others
Decreased Renal K+ Excretion [PE],CAT013,Others
Decreased RNA Integrity [PE],CAT013,Others
Decreased Prothrombin Activity [PE],CAT013,Others
Decreased Protein Synthesis [PE],CAT013,Others
Decreased Platelet Production [PE],CAT013,Others
Decreased Platelet Aggregation [PE],CAT013,Others
Decreased Mitosis [PE],CAT013,Others
Decreased Immunologically Active Molecule Activity [PE],CAT013,Others
Decreased Immunologic Activity [PE],CAT013,Others
Decreased GnRH Secretion [PE],CAT013,Others
Decreased Diuresis [PE],CAT013,Others
Decreased DNA Replication [PE],CAT013,Others
Decreased Cytokine Activity [PE],CAT013,Others
Decreased Cell Wall Synthesis & Repair [PE],CAT013,Others
Decreased Cell Wall Integrity [PE],CAT013,Others
DNA Polymerase Inhibitors [MoA],CAT013,Others
Cytoprotective Agent [EPC],CAT013,Others
Cardiac Myosin Inhibitor [EPC],CAT013,Others
Disclosing Agent [EPC],CAT013,Others
Cytolytic Agent [EPC],CAT013,Others
Ectoparasiticide [EPC],CAT013,Others
Endothelin Receptor Antagonist [EPC],CAT013,Others
General Anesthesia [PE],CAT013,Others
Gadolinium-based Contrast Agent [EPC],CAT013,Others
GABA A Receptor Positive Modulators [MoA],CAT013,Others
GABA A Agonists [MoA],CAT013,Others
G-Protein-linked Receptor Interactions [MoA],CAT013,Others
Fusion Protein Inhibitors [MoA],CAT013,Others
Folate Analog [EPC],CAT013,Others
Folate Analog Metabolic Inhibitor [EPC],CAT013,Others
Fluorescence Contrast Activity [MoA],CAT013,Others
Fibroblast Growth Factor 7 [CS],CAT013,Others
alpha Glucosidase Inhibitors [MoA],CAT013,Others
Fatty Acids,CAT013,Others
Factor Xa Inhibitor [EPC],CAT013,Others
Factor VIII Activator [EPC],CAT013,Others
FMS-like Receptor Tyrosine Kinase 3 (FLT3) Inhibitors [MoA],CAT013,Others
Estrogen Receptor Antagonist [EPC],CAT013,Others
Estrogen Receptor Agonists [MoA],CAT013,Others
Estrogen Agonist/Antagonist [EPC],CAT013,Others
Estradiol Congeners [CS],CAT013,Others
Ester Local Anesthetic [EPC],CAT013,Others
Erythropoiesis-stimulating Agent [EPC],CAT013,Others
Erythroid Maturation Agent [EPC],CAT013,Others
Ergotamine Derivative [EPC],CAT013,Others
Ergolines [CS],CAT013,Others
Ergocalciferols [CS],CAT013,Others
Epoxide Hydrolase Inhibitors [MoA],CAT013,Others
Enzyme Stabilizer [EPC],CAT013,Others
Endoglycosidase [EPC],CAT013,Others
Cytochrome P450 3A4 Inhibitors [MoA],CAT013,Others
Cytomegalovirus Nucleoside Analog DNA Polymerase Inhibitor [EPC],CAT013,Others
Cytochrome P450 3A Inhibitors [MoA],CAT013,Others
Complement Factor B Inhibitor [EPC],CAT013,Others
Cytochrome P450 3A4 Inducers [MoA],CAT013,Others
